title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Let's Be Evil,2016,83.0,,,https://img.reelgood.com/content/movie/cfaecd2f-631c-4403-a7c8-d1d7ffcdf5b8/poster-780.jpg,"Thriller, Horror, Science-Fiction, Mystery",,4.4,15%,A woman enters an underground bunker where gifted children use augmented reality technology to wreak havoc.,"{""reelgood"": ""lets-be-evil-2016"", ""hulu"": ""lets-be-evil-51754399-e7c4-4d8f-a5eb-d8e8cfe1941d""}"
Let's Get Tough,1942,62.0,,America,https://img.reelgood.com/content/movie/d0a6513e-b20f-4fcd-97c3-b47d020b31af/poster-780.jpg,Comedy,"War, World War II",5.6,,"Rejected by the Army, Marines, and Navy for being too young, the punks help the war effort by throwing fruit at a shop they believe is owned by a Japanese American. Confronted by him wielding a short sword, the gang decides to come back at night but find him dead.","{""reelgood"": ""lets-get-tough-1942"", ""amazon"": ""B002XGV6LG""}"
Let's Kill Grandpa,2017,79.0,,,https://img.reelgood.com/content/movie/eda3f3ec-5d9e-4b93-9713-050a905a2728/poster-780.jpg,"Mystery, Thriller, Comedy",,4.3,,A downtrodden unemployed pushover is lured into a sordid family conspiracy to murder his wife's grandfather on Christmas day.,"{""reelgood"": ""lets-kill-grandpa-2017"", ""amazon"": ""B07BCJGNV6""}"
Let's Rap,2015,104.0,,,https://img.reelgood.com/content/movie/bdefae79-5fb0-4e25-8789-de9e7ff7c019/poster-780.jpg,"Comedy, Romance",,6.9,,"A hapless brother and sister with a gift for pop-culture infused banter embark on an ill-conceived quest to get their own talk show, encountering romance and sabotage along the way.","{""reelgood"": ""lets-rap-2015"", ""amazon"": ""B079H85QPJ""}"
Let's Ruin It with Babies,2013,80.0,,,https://img.reelgood.com/content/movie/c61e839b-821c-4fb7-8276-5dcf32ec2a8c/poster-780.jpg,"Comedy, Drama, Romance",Female Director,5.1,,"Channing has it all: a beautiful home, a rock star lifestyle, and a loving husband intent on ruining it all by knocking her up.","{""reelgood"": ""lets-ruin-it-with-babies-2013"", ""amazon"": ""B00HBXJTS8""}"
Let's Sing Again,1936,70.0,,America,https://img.reelgood.com/content/movie/c6aafae7-a9d2-40af-85c8-a69a7b3c984e/poster-780.jpg,"Musical, Drama, Family",Music,5.9,,An orphan (Eight-year-old boy soprano Bobby Breen) gets a chance to sing opera in New York.,"{""reelgood"": ""lets-sing-again-1936"", ""amazon"": ""B000YFT0RU""}"
Letter of Introduction,1938,104.0,,,https://img.reelgood.com/content/movie/1b11fc25-3994-400f-b055-7dcf0c07c350/poster-780.jpg,"Comedy, Drama",,6.2,,"An aging actor, trying to make a comeback on Broadway, is surprised when his estranged daughter shows up. It seems that she is an actress and is also trying to make it on Broadway. He tries to re-establish his relationship with her while also trying to hide the fact that she is his daughter from the press.","{""reelgood"": ""letter-of-introduction-1938"", ""amazon"": ""B07WK9D7DC""}"
Letters from a Killer,1998,100.0,18+ (R),United Kingdom,https://img.reelgood.com/content/movie/45d39410-cb1d-4660-a62c-130378832a79/poster-780.jpg,"Crime, Drama, Mystery, Thriller","Suspense, Survival",5.4,,"A man is falsely convicted of the murder of his wife. During his time in jail, he finds comfort from four women with whom he corresponds. After his second court appearance, he is finally freed from prison only to be framed for yet 2 more murders which he did not commit. With the help of his former prison guard, he once again sets out to clear his name","{""reelgood"": ""letters-from-a-killer-1998"", ""amazon"": ""B07RH6JTZ1""}"
Letters from Prague,2016,94.0,,,https://img.reelgood.com/content/movie/b8a6a736-741a-43d3-8802-28a63f5d2ea4/poster-780.jpg,"Drama, Musical, Romance",,7.2,,"Larasati is forced to deliver a box of letters that belonged to Sulastri, her mother, to Jaya in Prague. The encounter with her mother's former fiance reveals a harsh truth behind her family and the dark history of a nation.","{""reelgood"": ""letters-from-prague-2016"", ""netflix"": ""81016321""}"
Letters to God,2010,110.0,7+ (PG),America,https://img.reelgood.com/content/movie/5012a595-c267-43ac-97f9-d84892d0a831/poster-780.jpg,"Drama, Independent, Family","Religion, Medical",6.3,24%,"A young boy fighting cancer writes letters to God, touching lives in his neighborhood and inspiring hope among everyone he comes in contact. An unsuspecting substitute postman, with a troubled life of his own, becomes entangled in the boy's journey and his family by reading the letters. They inspire him to seek a better life for himself and his own son he's lost through his alcohol addiction.","{""reelgood"": ""letters-to-god-2010"", ""amazon"": ""B07BHCX5M4""}"
